# gitter v1.0.3 data file generated on Wed Feb 25 11:12:07 2015			
# Warning possible misgridding: high count of small colony sizes, high count of low colony circularity"				
# Flags: S - Colony spill or edge interference, C - Low colony circularity"		
# row	col	size	circularity	flags
1	1	0	NA	
1	2	0	NA	
1	3	1241	0.8887	
1	4	1245	0.9344	
1	5	1274	0.9356	
1	6	1440	0.9248	
1	7	0	NA	
1	8	0	NA	
1	9	24	1.0061	
1	10	28	1.0297	
1	11	1369	0.831	
1	12	1160	0.8913	
1	13	1226	0.9167	
1	14	1196	0.8829	
1	15	1089	0.851	
1	16	1079	0.9201	
1	17	1226	0.7609	
1	18	1041	0.851	
1	19	1121	0.9043	
1	20	1054	0.9111	
1	21	1179	0.8816	
1	22	1171	0.8168	
1	23	1126	0.8964	
1	24	1235	0.8354	
1	25	1117	0.8505	
1	26	1191	0.902	
1	27	466	0.8869	
1	28	553	0.8839	
1	29	1537	0.933	
1	30	512	0.947	
1	31	1284	0.9114	
1	32	1197	0.8758	
1	33	680	0.937	
1	34	314	1.0171	
1	35	1095	0.9248	
1	36	1256	0.9238	
1	37	12	0.5839	C
1	38	0	NA	
1	39	1174	0.8858	
1	40	1349	0.9181	
1	41	1372	0.8992	
1	42	1339	0.8851	
1	43	0	NA	
1	44	921	0.9039	
1	45	0	NA	
1	46	0	NA	
1	47	22	0.8868	
1	48	925	0.8729	
2	1	0	NA	
2	2	0	NA	
2	3	1039	0.8437	
2	4	1088	0.8456	
2	5	1061	0.8674	
2	6	1066	0.8967	
2	7	0	NA	
2	8	0	NA	
2	9	5	1.9635	
2	10	1	Inf	
2	11	1123	0.9094	
2	12	900	0.9292	
2	13	894	0.9065	
2	14	677	0.9376	
2	15	810	0.9248	
2	16	882	0.9344	
2	17	991	0.9352	
2	18	1084	0.855	
2	19	759	0.9006	
2	20	900	0.8432	
2	21	1059	0.8944	
2	22	639	0.9052	
2	23	963	0.8573	
2	24	921	0.8604	
2	25	1031	0.8791	
2	26	1092	0.9349	
2	27	384	0.8909	
2	28	173	1.0255	
2	29	807	0.9214	
2	30	83	1.0474	
2	31	989	0.8683	
2	32	1089	0.9414	
2	33	694	0.9286	
2	34	701	0.959	
2	35	837	0.8963	
2	36	1109	0.9152	
2	37	428	0.9126	
2	38	451	0.9134	
2	39	424	0.9745	
2	40	840	0.8418	
2	41	993	0.8753	
2	42	1061	0.884	
2	43	317	0.9161	
2	44	18	0.8323	
