# gitter v1.0.3 data file generated on Wed Feb 25 11:12:59 2015
# Warning possible misgridding: high count of small colony sizes, high count of low colony circularity
# Flags: S - Colony spill or edge interference, C - Low colony circularity
# row	col	size	circularity	flags
1	1	1159	0.9349	
1	2	1275	0.8709	
1	3	1392	0.9123	
1	4	1217	0.8004	
1	5	913	0.8529	
1	6	916	0.9123	
1	7	0	NA	
1	8	0	NA	
1	9	1110	0.8822	
1	10	1217	0.8541	
1	11	944	0.8845	
1	12	1151	0.8878	
1	13	920	0.8224	
1	14	887	0.9061	
1	15	1012	0.8375	
1	16	1145	0.7285	
1	17	1051	0.746	
1	18	1127	0.7205	
1	19	1028	0.6455	
1	20	1256	0.6898	
1	21	1154	0.8551	
1	22	1178	0.7977	
1	23	1081	0.8104	
1	24	1227	0.7907	
1	25	1194	0.7623	
1	26	1171	0.8568	
1	27	0	NA	
1	28	0	NA	
1	29	52	0.7786	
1	30	59	0.9362	
1	31	1331	0.8448	
1	32	1287	0.9217	
1	33	589	0.8619	
1	34	617	0.8759	
1	35	0	NA	
1	36	0	NA	
1	37	1321	0.8762	
1	38	1175	0.898	
1	39	1168	0.9127	
1	40	1179	0.8704	
1	41	1317	0.92	
1	42	1134	0.869	
1	43	1152	0.9002	
1	44	1331	0.8798	
1	45	806	0.9411	
1	46	1164	0.8944	
1	47	1279	0.8967	
1	48	1032	0.9008	
2	1	1036	0.926	
2	2	828	0.9204	
2	3	889	0.9081	
2	4	784	0.9052	
2	5	979	0.9239	
2	6	1014	0.9339	
2	7	0	NA	
2	8	0	NA	
2	9	981	0.7666	
2	10	1087	0.8384	
2	11	973	0.9089	
2	12	969	0.9551	
2	13	651	0.9407	
2	14	961	0.9571	
2	15	881	0.8573	
2	16	879	0.9075	
2	17	925	0.8893	
2	18	1009	0.9162	
2	19	1002	0.8833	
2	20	1087	0.8971	
2	21	894	0.8812	
2	22	882	0.9203	
2	23	1006	0.8062	
2	24	1021	0.7884	
2	25	951	0.9066	
2	26	1065	0.935	
2	27	0	NA	
2	28	0	NA	
2	29	29	0.7433	
2	30	8	0.7398	
2	31	1180	0.9053	
2	32	1017	0.8791	
2	33	447	0.8386	
2	34	447	0.8366	
2	35	0	NA	
2	36	0	NA	
2	37	957	0.833	
2	38	791	0.8316	
2	39	952	0.9153	
2	40	895	0.7728	
2	41	904	0.8655	
2	42	828	0.9349	
2	43	946	0.8927	
2	44	984	0.876	
2	45	896	0.8542	
2	46	678	0.9458	
2	47	1247	0.8976	
2	48	1248	0.9131	
3	1	1283	0.8949	
3	2	807	0.897	
3	3	0	NA	
3	4	0	NA	
3	5	0	NA	
3	6	0	NA	
3	7	946	0.8373	
3	8	804	0.9036	
3	9	781	0.8401	
3	10	857	0.9178	
3	11	0	NA	
3	12	0	NA	
3	13	0	NA	
3	14	2	25.1327	
3	15	835	0.816	
3	16	739	0.8465	
3	17	0	NA	
3	18	0	NA	
3	19	0	NA	
3	20	0	NA	
3	21	0	NA	
3	22	3	6.4681	
3	23	841	0.7778	
3	24	776	0.7662	
3	25	871	0.8279	
3	26	988	0.8699	
3	27	974	0.8492	
3	28	975	0.8418	
3	29	1067	0.7738	
3	30	1019	0.8006	
3	31	4	12.5664	
3	32	57	0.9433	
3	33	1126	0.8606	
3	34	990	0.7422	
3	35	980	0.8142	
3	36	905	0.9014	
3	37	885	0.9097	
3	38	821	0.8325	
3	39	837	0.8336	
3	40	840	0.8428	
3	41	604	0.8575	
3	42	601	0.8954	
3	43	195	1.0019	
3	44	0	NA	
3	45	790	0.8978	
3	46	843	0.9028	
3	47	1014	0.9377	
3	48	1379	0.9419	
4	1	1115	0.9115	
4	2	947	0.9294	
4	3	0	NA	
4	4	6	1.2861	
4	5	0	NA	
4	6	0	NA	
4	7	947	0.85	
4	8	941	0.9047	
4	9	731	0.9324	
4	10	877	0.8644	
4	11	0	NA	
4	12	0	NA	
4	13	0	NA	
4	14	0	NA	
4	15	802	0.6193	
4	16	719	0.8771	
4	17	0	NA	
4	18	0	NA	
4	19	0	NA	
4	20	0	NA	
4	21	0	NA	
4	22	2	25.1327	
4	23	822	0.7624	
4	24	762	0.847	
4	25	891	0.7987	
4	26	867	0.7938	
4	27	917	0.9509	
4	28	944	0.9265	
4	29	1028	0.8948	
4	30	965	0.9278	
4	31	0	NA	
4	32	48	0.8085	
4	33	1017	0.8259	
4	34	957	0.7401	
4	35	822	0.6895	
4	36	724	0.9083	
4	37	788	0.8997	
4	38	727	0.9121	
4	39	753	0.7833	
4	40	785	0.8823	
4	41	842	0.8881	
4	42	670	0.8901	
4	43	0	NA	
4	44	0	NA	
4	45	938	0.8221	
4	46	719	0.9127	
4	47	946	0.8927	
4	48	1158	0.9133	
5	1	0	NA	
5	2	0	NA	
5	3	0	NA	
5	4	1043	0.8929	
5	5	0	NA	
5	6	0	NA	
5	7	449	0.937	
5	8	382	0.9651	
5	9	892	0.7062	
5	10	832	0.841	
5	11	589	0.8229	
5	12	539	0.8502	
5	13	612	0.8476	
5	14	622	0.7978	
5	15	745	0.8506	
5	16	818	0.8038	
5	17	805	0.7019	
5	18	915	0.8437	
5	19	913	0.7127	
5	20	859	0.883	
5	21	0	NA	
5	22	0	NA	
5	23	873	0.848	
5	24	840	0.8506	
5	25	788	0.9039	
5	26	876	0.8159	
5	27	0	NA	
5	28	0	NA	
5	29	0	NA	
5	30	0	NA	
5	31	1027	0.6912	
5	32	940	0.6965	
5	33	966	0.7875	
5	34	796	0.8524	
5	35	829	0.8318	
5	36	798	0.8611	
5	37	0	NA	
5	38	0	NA	
5	39	828	0.8272	
5	40	773	0.8728	
5	41	888	0.9307	
5	42	729	0.8791	
5	43	317	1.0001	
5	44	260	0.9897	
5	45	630	0.9103	
5	46	1158	0.9378	
5	47	0	NA	
5	48	0	NA	
6	1	0	NA	
6	2	0	NA	
6	3	1074	0.9413	
6	4	902	0.9118	
6	5	0	NA	
6	6	0	NA	
6	7	456	0.8484	
6	8	480	0.8631	
6	9	925	0.8777	
6	10	876	0.8509	
6	11	523	0.5886	C
6	12	551	0.8178	
6	13	561	0.7742	
6	14	546	0.65	
6	15	878	0.6693	
6	16	867	0.8336	
6	17	770	0.7974	
6	18	845	0.8762	
6	19	886	0.781	
6	20	885	0.8473	
6	21	0	NA	
6	22	0	NA	
6	23	828	0.8867	
6	24	791	0.8254	
6	25	882	0.9203	
6	26	1011	0.7777	
6	27	0	NA	
6	28	0	NA	
6	29	0	NA	
6	30	0	NA	
6	31	1094	0.8943	
6	32	1046	0.9042	
6	33	696	0.8774	
6	34	721	0.894	
6	35	792	0.8202	
6	36	806	0.8725	
6	37	0	NA	
6	38	0	NA	
6	39	797	0.8406	
6	40	883	0.8368	
6	41	873	0.8973	
6	42	927	0.9529	
6	43	427	0.9536	
6	44	173	0.9419	
6	45	817	0.9477	
6	46	591	0.9625	
6	47	0	NA	
6	48	0	NA	
7	1	1148	0.9385	
7	2	1085	0.887	
7	3	0	NA	
7	4	630	0.9558	
7	5	0	NA	
7	6	2	25.1327	
7	7	0	NA	
7	8	0	NA	
7	9	458	0.8952	
7	10	654	0.7561	
7	11	676	0.8769	
7	12	756	0.7665	
7	13	624	0.7489	
7	14	409	0.7578	
7	15	954	0.6839	
7	16	617	0.862	
7	17	2	25.1327	
7	18	0	NA	
7	19	782	0.8466	
7	20	854	0.9245	
7	21	0	NA	
7	22	0	NA	
7	23	797	0.9457	
7	24	746	0.91	
7	25	845	0.8817	
7	26	918	0.8125	
7	27	0	NA	
7	28	0	NA	
7	29	0	NA	
7	30	0	NA	
7	31	0	NA	
7	32	0	NA	
7	33	421	0.8314	
7	34	318	0.8169	
7	35	815	0.8634	
7	36	911	0.9306	
7	37	0	NA	
7	38	0	NA	
7	39	852	0.9367	
7	40	886	0.9386	
7	41	0	NA	
7	42	0	NA	
7	43	921	0.8007	
7	44	793	0.864	
7	45	677	0.8493	
7	46	492	0.91	
7	47	909	0.9527	
7	48	1084	0.8946	
8	1	1134	0.8511	
8	2	1049	0.9157	
8	3	816	0.9112	
8	4	804	0.8743	
8	5	0	NA	
8	6	0	NA	
8	7	0	NA	
8	8	0	NA	
8	9	635	0.8569	
8	10	661	0.7667	
8	11	783	0.7999	
8	12	642	0.6875	
8	13	519	0.8309	
8	14	574	0.8488	
8	15	16	0.5629	C
8	16	362	0.855	
8	17	0	NA	
8	18	0	NA	
8	19	834	0.8482	
8	20	638	0.9679	
8	21	0	NA	
8	22	8	0.7398	
8	23	747	0.9218	
8	24	779	0.9287	
8	25	874	0.8615	
8	26	1078	0.9192	
8	27	0	NA	
8	28	0	NA	
8	29	0	NA	
8	30	0	NA	
8	31	0	NA	
8	32	0	NA	
8	33	126	0.9322	
8	34	315	0.8575	
8	35	927	0.7557	
8	36	919	0.8709	
8	37	0	NA	
8	38	0	NA	
8	39	895	0.8822	
8	40	1030	0.9116	
8	41	0	NA	
8	42	0	NA	
8	43	904	0.9098	
8	44	858	0.9433	
8	45	981	0.9035	
8	46	884	0.8804	
8	47	940	0.8402	
8	48	1155	0.8604	
9	1	0	NA	
9	2	0	NA	
9	3	0	NA	
9	4	0	NA	
9	5	0	NA	
9	6	931	0.8439	
9	7	1025	0.7906	
9	8	571	0.9056	
9	9	788	0.8412	
9	10	763	0.7006	
9	11	646	0.6792	
9	12	708	0.8538	
9	13	354	0.5775	C
9	14	329	0.4494	C
9	15	883	0.7838	
9	16	826	0.721	
9	17	677	0.823	
9	18	807	0.7184	
9	19	828	0.5982	C
9	20	837	0.746	
9	21	839	0.847	
9	22	760	0.363	C
9	23	760	0.9165	
9	24	845	0.9189	
9	25	0	NA	
9	26	0	NA	
9	27	0	NA	
9	28	0	NA	
9	29	0	NA	
9	30	0	NA	
9	31	1059	0.6183	
9	32	1076	0.5021	C
9	33	0	NA	
9	34	0	NA	
9	35	856	0.7814	
9	36	803	0.7249	
9	37	0	NA	
9	38	0	NA	
9	39	0	NA	
9	40	0	NA	
9	41	0	NA	
9	42	0	NA	
9	43	0	NA	
9	44	0	NA	
9	45	879	0.9312	
9	46	794	0.8924	
9	47	1054	0.9201	
9	48	1157	0.9125	
10	1	0	NA	
10	2	0	NA	
10	3	0	NA	
10	4	0	NA	
10	5	692	0.924	
10	6	734	0.807	
10	7	692	0.8373	
10	8	1000	0.8645	
10	9	696	0.8732	
10	10	715	0.5602	C
10	11	624	0.7499	
10	12	562	0.9117	
10	13	510	0.5462	C
10	14	356	0.5775	C
10	15	895	0.8421	
10	16	820	0.7129	
10	17	798	0.7026	
10	18	703	0.9453	
10	19	759	0.7559	
10	20	815	0.8863	
10	21	569	0.8744	
10	22	154	0.8103	
10	23	812	0.6507	
10	24	782	0.8248	
10	25	0	NA	
10	26	0	NA	
10	27	0	NA	
10	28	0	NA	
10	29	0	NA	
10	30	0	NA	
10	31	931	0.465	C
10	32	913	0.6236	
10	33	1	Inf	
10	34	0	NA	
10	35	752	0.643	
10	36	712	0.919	
10	37	0	NA	
10	38	0	NA	
10	39	0	NA	
10	40	0	NA	
10	41	0	NA	
10	42	0	NA	
10	43	0	NA	
10	44	0	NA	
10	45	1028	0.8766	
10	46	891	0.9297	
10	47	1047	0.5761	C
10	48	1185	0.947	
11	1	0	NA	
11	2	0	NA	
11	3	1426	0.8859	
11	4	983	0.8874	
11	5	0	NA	
11	6	0	NA	
11	7	370	0.9284	
11	8	359	0.8384	
11	9	738	0.8088	
11	10	740	0.7746	
11	11	741	0.8274	
11	12	745	0.9457	
11	13	0	NA	
11	14	0	NA	
11	15	777	0.651	
11	16	718	0.6547	
11	17	645	0.7193	
11	18	639	0.8698	
11	19	0	NA	
11	20	0	NA	
11	21	725	0.7374	
11	22	671	0.8146	
11	23	813	0.7187	
11	24	860	0.7559	
11	25	636	0.678	
11	26	788	0.8731	
11	27	722	0.7791	
11	28	900	0.5985	C
11	29	0	NA	
11	30	0	NA	
11	31	912	0.5018	C
11	32	897	0.4792	C
11	33	507	0.5257	C
11	34	538	0.6829	
11	35	874	0.7193	
11	36	787	0.662	
11	37	1071	0.5299	C
11	38	1159	0.4601	C
11	39	785	0.9421	
11	40	831	0.517	C
11	41	0	NA	
11	42	0	NA	
11	43	851	0.888	
11	44	624	0.8905	
11	45	394	0.8914	
11	46	908	0.9333	
11	47	0	NA	
11	48	0	NA	
12	1	0	NA	
12	2	0	NA	
12	3	833	0.9059	
12	4	932	0.8583	
12	5	0	NA	
12	6	0	NA	
12	7	337	0.9174	
12	8	346	0.8266	
12	9	805	0.6734	
12	10	820	0.6964	
12	11	741	0.6216	
12	12	684	0.8482	
12	13	0	NA	
12	14	0	NA	
12	15	780	0.7013	
12	16	835	0.6475	
12	17	589	0.6467	
12	18	655	0.7623	
12	19	0	NA	
12	20	0	NA	
12	21	785	0.5375	C
12	22	738	0.7405	
12	23	899	0.5013	C
12	24	792	0.8228	
12	25	756	0.7321	
12	26	682	0.6577	
12	27	792	0.6536	
12	28	735	0.7694	
12	29	0	NA	
12	30	1	Inf	
12	31	915	0.6266	
12	32	951	0.6401	
12	33	458	0.6502	
12	34	458	0.6875	
12	35	672	0.9307	
12	36	780	0.8537	
12	37	665	0.9441	
12	38	0	NA	
12	39	781	0.8818	
12	40	793	0.9012	
12	41	0	NA	
12	42	0	NA	
12	43	643	0.9409	
12	44	658	0.9508	
12	45	863	0.8871	
12	46	790	0.9268	
12	47	0	NA	
12	48	0	NA	
13	1	1616	0.8775	
13	2	1053	0.6497	
13	3	979	0.8979	
13	4	720	0.8313	
13	5	807	0.8244	
13	6	840	0.9135	
13	7	0	NA	
13	8	0	NA	
13	9	543	0.9013	
13	10	493	0.899	
13	11	742	0.7733	
13	12	779	0.5893	C
13	13	417	0.4815	C
13	14	655	0.448	C
13	15	721	0.6065	
13	16	759	0.4576	C
13	17	666	0.4868	C
13	18	665	0.7058	
13	19	0	NA	
13	20	0	NA	
13	21	716	0.5038	C
13	22	491	0.5853	C
13	23	599	0.6258	
13	24	607	0.7178	
13	25	607	0.5161	C
13	26	590	0.5833	C
13	27	825	0.957	
13	28	835	0.7507	
13	29	886	0.6942	
13	30	803	0.7249	
13	31	314	0.4497	C
13	32	289	0.9802	
13	33	677	0.6624	
13	34	666	0.9624	
13	35	129	0.793	
13	36	294	0.894	
13	37	785	0.9271	
13	38	838	0.5099	C
13	39	667	0.8818	
13	40	743	0.896	
13	41	769	0.9273	
13	42	825	0.9376	
13	43	840	0.9094	
13	44	746	0.91	
13	45	884	0.9087	
13	46	883	0.9313	
13	47	0	NA	
13	48	0	NA	
14	1	1387	0.9168	
14	2	1201	0.8525	
14	3	721	0.8014	
14	4	922	0.8827	
14	5	848	0.9081	
14	6	773	0.9068	
14	7	0	NA	
14	8	0	NA	
14	9	531	0.9362	
14	10	548	0.9045	
14	11	792	0.5081	C
14	12	682	0.6089	
14	13	495	0.743	
14	14	345	0.5597	C
14	15	749	0.5297	C
14	16	819	0.3757	C
14	17	659	0.4726	C
14	18	772	0.5191	C
14	19	0	NA	
14	20	0	NA	
14	21	758	0.4634	C
14	22	879	0.5487	C
14	23	568	0.8617	
14	24	565	0.8961	
14	25	659	0.6981	
14	26	516	0.7085	
14	27	774	0.9441	
14	28	742	0.9419	
14	29	855	0.9357	
14	30	803	0.9683	
14	31	82	0.4825	C
14	32	360	0.9248	
14	33	716	0.8836	
14	34	732	0.8452	
14	35	142	0.8729	
14	36	252	0.9512	
14	37	840	0.9235	
14	38	788	0.8759	
14	39	818	0.9296	
14	40	851	0.9171	
14	41	673	0.9207	
14	42	703	0.9618	
14	43	921	0.9189	
14	44	772	0.5663	C
14	45	687	0.8763	
14	46	903	0.9566	
14	47	0	NA	
14	48	0	NA	
15	1	389	0.7207	
15	2	743	0.758	
15	3	915	0.9306	
15	4	837	0.9304	
15	5	0	NA	
15	6	0	NA	
15	7	588	0.8422	
15	8	328	0.9722	
15	9	0	NA	
15	10	0	NA	
15	11	858	0.4594	C
15	12	677	0.8258	
15	13	560	0.753	
15	14	698	0.5662	C
15	15	600	0.6828	
15	16	538	0.346	C
15	17	760	0.5049	C
15	18	774	0.4732	C
15	19	804	0.3601	C
15	20	768	0.6195	
15	21	0	NA	
15	22	0	NA	
15	23	649	0.9427	
15	24	579	0.9015	
15	25	0	NA	
15	26	0	NA	
15	27	768	0.7616	
15	28	643	0.9703	
15	29	1	Inf	
15	30	0	NA	
15	31	799	0.933	
15	32	803	0.942	
15	33	445	0.9148	
15	34	560	0.907	
15	35	722	0.9319	
15	36	741	0.922	
15	37	0	NA	
15	38	0	NA	
15	39	733	0.9196	
15	40	844	0.901	
15	41	0	NA	
15	42	0	NA	
15	43	382	0.9585	
15	44	506	0.8513	
15	45	964	0.9364	
15	46	854	0.8911	
15	47	684	0.8482	
15	48	768	0.9113	
16	1	586	0.873	
16	2	312	0.8813	
16	3	790	0.8838	
16	4	834	0.9069	
16	5	0	NA	
16	6	0	NA	
16	7	490	0.9248	
16	8	451	0.9134	
16	9	0	NA	
16	10	0	NA	
16	11	701	0.7904	
16	12	671	0.6332	
16	13	547	0.8628	
16	14	578	0.6803	
16	15	540	0.5937	C
16	16	537	0.8517	
16	17	781	0.5408	C
16	18	791	0.4824	C
16	19	769	0.5189	C
16	20	859	0.5287	C
16	21	0	NA	
16	22	0	NA	
16	23	775	0.9454	
16	24	634	0.8674	
16	25	0	NA	
16	26	1	Inf	
16	27	749	0.9442	
16	28	748	0.6659	
16	29	3	Inf	
16	30	0	NA	
16	31	680	0.9418	
16	32	759	0.9153	
16	33	437	0.9462	
16	34	378	0.9178	
16	35	744	0.8828	
16	36	710	0.9548	
16	37	3	3.2341	
16	38	0	NA	
16	39	600	0.9221	
16	40	665	0.8441	
16	41	0	NA	
16	42	0	NA	
16	43	329	0.9578	
16	44	353	0.9514	
16	45	1037	0.8388	
16	46	934	0.9262	
16	47	604	0.8222	
16	48	951	0.8884	
17	1	1004	0.9285	
17	2	1138	0.8128	
17	3	169	0.8481	
17	4	126	1.0426	
17	5	455	0.9555	
17	6	428	0.9683	
17	7	723	0.8718	
17	8	764	0.7747	
17	9	850	0.7861	
17	10	613	0.5073	C
17	11	730	0.8088	
17	12	734	0.4514	C
17	13	664	0.4127	C
17	14	766	0.4418	C
17	15	728	0.7917	
17	16	714	0.8854	
17	17	0	NA	
17	18	0	NA	
17	19	744	0.4876	C
17	20	743	0.855	
17	21	0	NA	
17	22	3	3.2341	
17	23	817	0.9477	
17	24	765	0.8915	
17	25	553	0.9056	
17	26	566	0.8977	
17	27	0	NA	
17	28	0	NA	
17	29	870	0.9317	
17	30	823	0.5953	C
17	31	562	0.9032	
17	32	676	0.883	
17	33	755	0.9362	
17	34	842	0.9463	
17	35	584	0.8813	
17	36	559	0.8818	
17	37	818	0.9444	
17	38	743	0.9169	
17	39	798	0.8911	
17	40	898	0.937	
17	41	851	0.9356	
17	42	765	0.8992	
17	43	845	0.8817	
17	44	997	0.922	
17	45	22	1.2172	
17	46	16	0.8852	
17	47	1217	0.8594	
17	48	1122	0.8701	
18	1	923	0.9059	
18	2	1178	0.8542	
18	3	186	0.9651	
18	4	351	0.9234	
18	5	675	0.7128	
18	6	253	0.8306	
18	7	717	0.9101	
18	8	783	0.7765	
18	9	301	0.9153	
18	10	0	NA	
18	11	769	0.7904	
18	12	746	0.9359	
18	13	773	0.9429	
18	14	775	0.4646	C
18	15	758	0.3618	C
18	16	854	0.5842	C
18	17	0	NA	
18	18	0	NA	
18	19	824	0.3849	C
18	20	756	0.9374	
18	21	1	Inf	
18	22	0	NA	
18	23	749	0.9288	
18	24	707	0.9507	
18	25	553	0.9484	
18	26	551	0.9145	
18	27	5	1.9635	
18	28	0	NA	
18	29	753	0.8834	
18	30	783	0.9291	
18	31	657	0.9614	
18	32	694	0.9065	
18	33	782	0.8829	
18	34	630	0.9056	
18	35	0	NA	
18	36	14	1.0297	
18	37	796	0.9088	
18	38	863	0.6314	
18	39	840	0.9235	
18	40	804	0.8978	
18	41	820	0.8974	
18	42	781	0.9418	
18	43	964	0.9324	
18	44	959	0.9088	
18	45	22	0.7601	
18	46	0	NA	
18	47	1190	0.8199	
18	48	1156	0.9203	
19	1	0	NA	
19	2	0	NA	
19	3	1097	0.8898	
19	4	857	0.9379	
19	5	0	NA	
19	6	0	NA	
19	7	779	0.9502	
19	8	773	0.7746	
19	9	595	0.8491	
19	10	494	0.859	
19	11	775	0.7252	
19	12	769	0.9124	
19	13	0	NA	
19	14	2	25.1327	
19	15	772	0.7139	
19	16	809	0.9491	
19	17	2	25.1327	
19	18	3	3.2341	
19	19	865	0.3971	C
19	20	760	0.8609	
19	21	640	0.8974	
19	22	610	0.9549	
19	23	0	NA	
19	24	3	37.6991	
19	25	648	0.9482	
19	26	617	0.8805	
19	27	707	0.9235	
19	28	701	0.9202	
19	29	383	0.9299	
19	30	368	0.9614	
19	31	0	NA	
19	32	0	NA	
19	33	574	0.9054	
