# gitter v1.0.3 data file generated on Wed Feb 25 11:16:36 2015
# Warning possible misgridding: high count of low colony circularity
# Flags: S - Colony spill or edge interference, C - Low colony circularity
# row	col	size	circularity	flags
1	1	1002	0.9212	
1	2	928	0.934	
1	3	1101	0.8799	
1	4	992	0.8992	
1	5	865	0.9026	
1	6	746	0.9516	
1	7	924	0.8975	
1	8	1036	0.9223	
1	9	906	0.8586	
1	10	511	0.8368	
1	11	1045	0.9159	
1	12	1076	0.9212	
1	13	815	0.941	
1	14	916	0.8898	
1	15	1034	0.8533	
1	16	1125	0.9075	
1	17	871	0.8548	
1	18	1075	0.8591	
1	19	990	0.8886	
1	20	1011	0.9037	
1	21	985	0.9109	
1	22	957	0.9069	
1	23	1180	0.8903	
1	24	1256	0.8622	
1	25	170	0.8945	
1	26	855	0.8696	
1	27	1065	0.9426	
1	28	1103	0.9535	
1	29	1145	0.9288	
1	30	1217	0.9474	
1	31	3	37.6991	
1	32	116	0.9598	
1	33	1148	0.9261	
1	34	1294	0.9267	
1	35	582	0.8736	
1	36	478	0.7611	
1	37	59	0.8628	
1	38	52	0.9147	
1	39	1253	0.8633	
1	40	1085	0.9471	
1	41	72	0.9086	S
1	42	215	1.0301	S
1	43	1146	0.9123	
1	44	1083	0.9023	
1	45	746	0.8711	
1	46	748	0.8636	
1	47	1100	0.9216	
1	48	1290	0.878	
2	1	773	0.9475	
2	2	385	0.9348	
2	3	882	0.8785	
2	4	786	0.8737	
2	5	766	0.9132	
2	6	687	0.8619	
2	7	825	0.8647	
2	8	461	0.9337	
2	9	705	0.8433	
2	10	753	0.9292	
2	11	681	0.9317	
2	12	693	0.8797	
2	13	689	0.8832	
2	14	586	0.8424	
2	15	789	0.881	
2	16	745	0.9238	
2	17	707	0.8974	
2	18	743	0.9213	
2	19	861	0.9179	
2	20	902	0.9412	
2	21	810	0.8581	
2	22	698	0.9273	
2	23	777	0.8477	
2	24	1051	0.9227	
2	25	267	0.9602	
2	26	379	0.9575	
2	27	884	0.8342	
2	28	981	0.8769	
2	29	872	0.9296	
2	30	969	0.9372	
2	31	0	NA	
2	32	353	0.8151	
2	33	823	0.961	
2	34	814	0.9107	
2	35	507	0.9377	
2	36	909	0.8883	
2	37	26	0.527	C
2	38	26	0.5099	C
2	39	888	0.8663	
2	40	1021	0.8791	
2	41	0	NA	
2	42	12	0.8826	
2	43	970	0.8971	
2	44	991	0.8736	
2	45	634	0.9001	
2	46	714	0.8025	
2	47	972	0.8863	
2	48	1181	0.9061	
3	1	1233	0.9021	
3	2	833	0.8825	
3	3	613	0.9421	
3	4	659	0.9523	
3	5	633	0.8986	
3	6	739	0.871	
3	7	818	0.9134	
3	8	788	0.884	
3	9	633	0.9033	
3	10	637	0.8978	
3	11	623	0.878	
3	12	622	0.7562	
3	13	706	0.9006	
3	14	748	0.9094	
3	15	737	0.9139	
3	16	705	0.8949	
3	17	724	0.9039	
3	18	839	0.8945	
3	19	205	0.8253	
3	20	214	0.9621	
3	21	1004	0.9285	
3	22	251	0.8286	
3	23	900	0.8372	
3	24	836	0.8503	
3	25	835	0.8042	
3	26	941	0.9196	
3	27	800	0.8529	
3	28	711	0.8877	
3	29	469	0.944	
3	30	379	0.9202	
3	31	949	0.8955	
3	32	1041	0.8698	
3	33	0	NA	
3	34	0	NA	
3	35	1008	0.9229	
3	36	867	0.8951	
3	37	918	0.8944	
3	38	850	0.8869	
3	39	799	0.8881	
3	40	770	0.9393	
3	41	808	0.9329	
3	42	895	0.924	
3	43	775	0.8948	
3	44	595	0.8553	
3	45	784	0.9409	
3	46	668	0.9252	
3	47	798	0.8639	
3	48	671	0.9408	
4	1	1280	0.9086	
4	2	953	0.9218	
4	3	683	0.9231	
4	4	602	0.9548	
4	5	619	0.9106	
4	6	577	0.8754	
4	7	698	0.8799	
4	8	697	0.915	
4	9	714	0.9326	
4	10	687	0.9127	
4	11	726	0.8959	
4	12	658	0.9002	
4	13	589	0.8467	
4	14	644	0.881	
4	15	733	0.8463	
4	16	773	0.9475	
4	17	732	0.8887	
4	18	830	0.8394	
4	19	227	0.7742	
4	20	231	0.8975	
4	21	270	0.8299	
4	22	30	0.7985	
4	23	678	0.7954	
4	24	656	0.8134	
4	25	770	0.7915	
4	26	799	0.8465	
4	27	728	0.8984	
4	28	867	0.9144	
4	29	307	0.9508	
4	30	462	0.9357	
4	31	941	0.8666	
4	32	905	0.9443	
4	33	0	NA	
4	34	0	NA	
4	35	785	0.8823	
4	36	770	0.8991	
4	37	844	0.8675	
4	38	826	0.9181	
4	39	832	0.9248	
4	40	795	0.8673	
4	41	712	0.8786	
4	42	852	0.8796	
4	43	641	0.9147	
4	44	747	0.8863	
4	45	588	0.876	
4	46	849	0.8915	
4	47	688	0.9528	
4	48	1077	0.8853	
5	1	0	NA	
5	2	0	NA	
5	3	661	0.9316	
5	4	690	0.8801	
5	5	130	0.9618	
5	6	114	1.0481	
5	7	0	NA	
5	8	0	NA	
5	9	598	0.8641	
5	10	590	0.9067	
5	11	636	0.9356	
5	12	671	0.8704	
5	13	543	0.7917	
5	14	674	0.7944	
5	15	775	0.871	
5	16	738	0.8857	
5	17	566	0.8326	
5	18	534	0.9602	
5	19	322	0.9473	
5	20	435	0.8161	
5	21	593	0.8388	
5	22	638	0.8392	
5	23	455	0.7867	
5	24	607	0.9279	
5	25	596	0.8833	
5	26	555	0.9212	
5	27	639	0.952	
5	28	648	0.8929	
5	29	349	0.9501	
5	30	302	0.8638	
5	31	776	0.9104	
5	32	813	0.864	
5	33	563	0.8064	
5	34	463	0.9049	
5	35	722	0.9431	
5	36	703	0.8717	
5	37	102	1.0628	S
5	38	24	0.6152	
5	39	675	0.8539	
5	40	680	0.8945	
5	41	711	0.9561	
5	42	721	0.9108	
5	43	0	NA	
5	44	0	NA	
5	45	797	0.91	
5	46	792	0.8707	
5	47	1024	0.8939	
5	48	1057	0.8807	
6	1	0	NA	
6	2	0	NA	
6	3	809	0.9535	
6	4	351	0.9624	
6	5	207	0.9825	
6	6	188	1.0091	
6	7	0	NA	
6	8	0	NA	
6	9	706	0.8754	
6	10	640	0.918	
6	11	666	0.8956	
6	12	681	0.8747	
6	13	605	0.9014	
6	14	546	0.9548	
6	15	549	0.8547	
6	16	807	0.8458	
6	17	521	0.9368	
6	18	601	0.8684	
6	19	300	0.7119	
6	20	480	0.9191	
6	21	669	0.8256	
6	22	532	0.9433	
6	23	582	0.9479	
6	24	534	0.9414	
6	25	653	0.8632	
6	26	480	0.8346	
6	27	615	0.9575	
6	28	532	0.883	
6	29	505	0.987	
6	30	391	0.9878	
6	31	816	0.8552	
6	32	661	0.8264	
6	33	535	0.8178	
6	34	518	0.9446	
6	35	554	0.8787	
6	36	544	0.8825	
6	37	25	0.9805	
6	38	26	0.425	C
6	39	698	0.9117	
6	40	639	0.8347	
6	41	759	0.9259	
6	42	829	0.936	
6	43	0	NA	
6	44	0	NA	
6	45	809	0.8854	
6	46	326	0.8612	S
6	47	847	0.903	
6	48	1017	0.9091	
7	1	1049	0.9194	
7	2	1042	0.8885	
7	3	418	0.9191	
7	4	712	0.93	
7	5	668	0.8622	
7	6	677	0.9104	
7	7	709	0.942	
7	8	757	0.8195	
7	9	0	NA	
7	10	0	NA	
7	11	620	0.8738	
7	12	638	0.9152	
7	13	727	0.8394	
7	14	677	0.8994	
7	15	0	NA	
7	16	0	NA	
7	17	757	0.836	
7	18	759	0.9048	
7	19	759	0.9006	
7	20	760	0.7871	
7	21	781	0.8311	
7	22	662	0.9011	
7	23	699	0.9131	
7	24	749	0.8887	
7	25	702	0.9017	
7	26	801	0.9145	
7	27	538	0.8162	
7	28	397	0.8374	
7	29	629	0.9204	
7	30	624	0.8951	
7	31	719	0.8916	
7	32	829	0.8782	
7	33	646	0.9453	
7	34	691	0.8568	
7	35	698	0.9501	
7	36	707	0.8974	
7	37	682	0.933	
7	38	707	0.8201	
7	39	574	0.9527	
7	40	644	0.9424	
7	41	719	0.9127	
7	42	721	0.9531	
7	43	105	0.7861	S
7	44	0	NA	
7	45	867	0.9144	
7	46	878	0.9402	
7	47	881	0.9096	
7	48	1131	0.9004	
8	1	1016	0.921	
8	2	848	0.9281	
8	3	760	0.8581	
8	4	724	0.8631	
8	5	650	0.9048	
8	6	602	0.9548	
8	7	647	0.8915	
8	8	729	0.8552	
8	9	0	NA	
8	10	0	NA	
8	11	646	0.8409	
8	12	686	0.9385	
8	13	720	0.8855	
8	14	683	0.8816	
8	15	0	NA	
8	16	0	NA	
8	17	764	0.8792	
8	18	599	0.9156	
8	19	835	0.918	
8	20	664	0.8822	
8	21	824	0.892	
8	22	729	0.9101	
8	23	779	0.8894	
8	24	799	0.8784	
8	25	768	0.8443	
8	26	695	0.8971	
8	27	360	0.9871	
8	28	416	0.9164	
8	29	650	0.9067	
8	30	370	0.7307	
8	31	789	0.9514	
8	32	706	0.8389	
8	33	686	0.9114	
8	34	684	0.8653	
8	35	665	0.9052	
8	36	620	0.9528	
8	37	608	0.8525	
8	38	598	0.931	
8	39	646	0.8687	
8	40	629	0.9492	
8	41	632	0.9366	
8	42	779	0.9243	
8	43	6	0.5549	C
8	44	186	0.9334	S
8	45	823	0.887	
8	46	741	0.8058	
8	47	965	0.9239	
8	48	1123	0.8505	
9	1	1019	0.9559	
9	2	761	0.9436	
9	3	597	0.8627	
9	4	668	0.9252	
9	5	556	0.9354	
9	6	562	0.9032	
9	7	731	0.9324	
9	8	715	0.9229	
9	9	765	0.8874	
