# gitter v1.0.3 data file generated on Wed Feb 25 11:17:11 2015
# Warning possible misgridding: high count of small colony sizes, high count of low colony circularity
# Flags: S - Colony spill or edge interference, C - Low colony circularity
# row	col	size	circularity	flags
1	1	1215	0.8843	
1	2	1296	0.8929	
1	3	0	NA	
1	4	0	NA	
1	5	1059	0.8543	
1	6	772	0.9057	
1	7	1104	0.9324	
1	8	908	0.9195	
1	9	1005	0.8895	
1	10	1064	0.89	
1	11	999	0.9371	
1	12	1049	0.9006	
1	13	1071	0.8839	
1	14	1193	0.9035	
1	15	882	0.9066	
1	16	1023	0.8523	
1	17	630	0.8092	
1	18	456	0.9139	
1	19	1181	0.8618	
1	20	1166	0.9354	
1	21	992	0.9212	
1	22	1111	0.8546	
1	23	912	0.9457	
1	24	851	0.8031	
1	25	1373	0.9107	
1	26	1226	0.8812	
1	27	976	0.8989	
1	28	1148	0.8855	
1	29	1324	0.8515	
1	30	1224	0.9235	
1	31	1020	0.8604	
1	32	1047	0.9103	
1	33	794	0.8076	
1	34	832	0.9499	
1	35	128	1.0155	
1	36	192	0.8711	
1	37	1325	0.9096	
1	38	1087	0.8769	
1	39	1207	0.8911	
1	40	1013	0.8638	
1	41	1154	0.9434	
1	42	1228	0.843	
1	43	1006	0.7965	
1	44	1136	0.8762	
1	45	658	0.9067	
1	46	853	0.8286	
1	47	1272	0.8732	
1	48	1522	0.8689	
2	1	1547	0.9283	
2	2	1089	0.8903	
2	3	0	NA	
2	4	0	NA	
2	5	632	0.9297	
2	6	829	0.8469	
2	7	770	0.9285	
2	8	895	0.8914	
2	9	815	0.9454	
2	10	742	0.8511	
2	11	860	0.9455	
2	12	946	0.8258	
2	13	875	0.7577	
2	14	658	0.939	
2	15	952	0.7459	
2	16	1036	0.9353	
2	17	394	0.8856	
2	18	473	0.88	
2	19	1187	0.8373	
2	20	756	0.6942	
2	21	963	0.8001	
2	22	921	0.8604	
2	23	173	0.8211	
2	24	390	0.8766	
2	25	823	0.8371	
2	26	852	0.8758	
2	27	727	0.9183	
2	28	629	0.8774	
2	29	1067	0.9135	
2	30	898	0.9173	
2	31	871	0.882	
2	32	826	0.8646	
2	33	420	0.9591	
2	34	778	0.9382	
2	35	236	0.8908	
2	36	117	1.016	
2	37	949	0.8653	
2	38	1201	0.9385	
2	39	755	0.8816	
2	40	1027	0.9053	
2	41	1005	0.7722	
2	42	1050	0.8391	
2	43	870	0.9317	
2	44	901	0.8442	
2	45	584	0.9212	
2	46	808	0.8941	
2	47	1103	0.8898	
2	48	1263	0.9159	
3	1	584	0.9511	
3	2	953	0.9124	
3	3	885	0.8509	
3	4	373	0.9649	
3	5	146	0.8975	
3	6	775	0.961	
3	7	0	NA	
3	8	15	0.3845	C
3	9	795	0.8768	
3	10	649	0.9378	
3	11	652	0.8952	
3	12	482	0.879	
3	13	768	0.9261	
3	14	0	NA	
3	15	775	0.8455	
3	16	849	0.8954	
3	17	0	NA	
3	18	0	NA	
3	19	946	0.8421	
3	20	871	0.72	
3	21	537	0.9467	
3	22	572	0.7151	
3	23	761	0.8827	
3	24	838	0.8744	
3	25	666	0.8343	
3	26	586	0.4393	C
3	27	756	0.8798	
3	28	786	0.8875	
3	29	0	NA	
3	30	0	NA	
3	31	395	0.9311	
3	32	898	0.9038	
3	33	1355	0.8925	
3	34	7	0.9433	
3	35	558	0.885	
3	36	446	0.9089	
3	37	6	0.4707	C
3	38	654	0.9123	
3	39	0	NA	
3	40	449	0.8354	
3	41	251	0.9285	
3	42	429	0.9288	
3	43	539	0.9372	
3	44	647	0.9468	
3	45	832	0.8166	
3	46	661	0.9155	
3	47	792	0.8353	
3	48	1069	0.9028	
4	1	720	0.8842	
4	2	511	0.8764	
4	3	557	0.9122	
4	4	715	0.9229	
4	5	722	0.921	
4	6	913	0.7288	
4	7	12	0.3972	C
4	8	6	0.4707	C
4	9	560	0.9295	
4	10	637	0.9541	
4	11	606	0.8757	
4	12	481	0.8649	
4	13	0	NA	
4	14	0	NA	
4	15	785	0.8498	
4	16	659	0.9081	
4	17	0	NA	
4	18	0	NA	
4	19	1093	0.7897	
4	20	679	0.7865	
4	21	32	0.7398	
4	22	41	0.442	C
4	23	765	0.8104	
4	24	1013	0.7327	
4	25	696	0.8792	
4	26	404	0.6732	
4	27	1010	0.9475	
4	28	777	0.9588	
4	29	0	NA	
4	30	0	NA	
4	31	831	0.7852	
4	32	61	0.6979	
4	33	354	0.8987	
4	34	1069	0.8118	
4	35	337	0.8955	
4	36	671	0.9101	
4	37	558	0.8239	
4	38	548	0.8974	
4	39	208	0.9872	
4	40	411	0.9753	
4	41	665	0.921	
4	42	717	0.9101	
4	43	552	0.9598	
4	44	902	0.9078	
4	45	778	0.9084	
4	46	162	0.9462	
4	47	1152	0.9002	
4	48	932	0.9015	
5	1	0	NA	
5	2	505	0.9728	
5	3	737	0.9139	
5	4	672	0.9037	
5	5	689	0.9	
5	6	716	0.8878	
5	7	483	0.8685	
5	8	368	0.9145	
5	9	764	0.8862	
5	10	778	0.9536	
5	11	470	0.8621	
5	12	692	0.9008	
5	13	662	0.9215	
5	14	655	0.9118	
5	15	854	0.8724	
5	16	663	0.71	
5	17	736	0.7636	
5	18	852	0.8276	
5	19	547	0.7834	
5	20	635	0.7308	
5	21	803	0.8107	
5	22	601	0.8795	
5	23	857	0.8809	
5	24	441	0.8932	
5	25	762	0.87	
5	26	738	0.8828	
5	27	62	0.8919	
5	28	27	0.5821	C
5	29	802	0.8332	
5	30	4	1.078	
5	31	765	0.8874	
5	32	745	0.884	
5	33	783	0.8648	
5	34	714	0.8751	
5	35	680	0.8461	
5	36	611	0.9103	
5	37	776	0.9251	
5	38	815	0.8326	
5	39	79	0.9969	
5	40	395	0.8607	
5	41	0	NA	
5	42	0	NA	
5	43	811	0.9015	
5	44	538	0.888	
5	45	821	0.8792	
5	46	620	0.8847	
5	47	759	0.8307	
5	48	1121	0.8726	
6	1	1419	0.9037	
6	2	15	0.4965	C
6	3	747	0.9326	
6	4	706	0.9006	
6	5	498	0.883	
6	6	724	0.8978	
6	7	380	0.9078	
6	8	536	0.9017	
6	9	722	0.9102	
6	10	520	0.8868	
6	11	669	0.8267	
6	12	286	0.5767	C
6	13	770	0.8373	
6	14	596	0.9159	
6	15	673	0.873	
6	16	369	0.9479	
6	17	630	0.9267	
6	18	651	0.9242	
6	19	654	0.95	
6	20	406	0.9635	
6	21	880	0.957	
6	22	730	0.9583	
6	23	625	0.9605	
6	24	669	0.9265	
6	25	655	0.7963	
6	26	760	0.8503	
6	27	12	0.5839	C
6	28	10	0.4865	C
6	29	647	0.8282	
6	30	91	0.5493	C
6	31	672	0.817	
6	32	653	0.6524	
6	33	436	0.7581	
6	34	614	0.8473	
6	35	888	0.8415	
6	36	694	0.7251	
6	37	734	0.8196	
6	38	714	0.8404	
6	39	652	0.9142	
6	40	502	0.8445	
6	41	0	NA	
6	42	0	NA	
6	43	714	0.871	
6	44	697	0.9326	
6	45	972	0.908	
6	46	791	0.838	
6	47	981	0.9164	
6	48	1014	0.8851	
7	1	799	0.8784	
7	2	1303	0.825	
7	3	623	0.9164	
7	4	745	0.9346	
7	5	581	0.8767	
7	6	586	0.9173	
7	7	625	0.9482	
7	8	743	0.8917	
7	9	0	NA	
7	10	0	NA	
7	11	481	0.8949	
7	12	956	0.6804	
7	13	153	0.8625	
7	14	209	0.819	
7	15	16	0.8852	
7	16	18	0.8323	
7	17	0	NA	
7	18	0	NA	
7	19	873	0.7253	
7	20	955	0.905	
7	21	0	NA	
7	22	0	NA	
7	23	581	0.9215	
7	24	772	0.8621	
7	25	582	0.966	
7	26	756	0.7452	
7	27	820	0.8083	
7	28	716	0.9399	
7	29	745	0.7193	
7	30	610	0.8315	
7	31	531	0.8025	
7	32	533	0.7142	
7	33	597	0.623	
7	34	304	1.0035	
7	35	757	0.785	
7	36	951	0.8743	
7	37	654	0.95	
7	38	659	0.8755	
7	39	454	0.968	
7	40	510	0.9378	
7	41	893	0.8586	
7	42	656	0.8884	
7	43	268	0.9193	
7	44	371	0.8339	
7	45	593	0.8524	
7	46	510	0.8991	
7	47	870	0.8943	
7	48	1002	0.8833	
8	1	1533	0.8567	
8	2	1007	0.9128	
8	3	612	0.8581	
8	4	552	0.8755	
8	5	351	0.8722	
8	6	479	0.9227	
8	7	650	0.8938	
8	8	727	0.9165	
8	9	0	NA	
8	10	2	25.1327	
8	11	1019	0.833	
8	12	985	0.7577	
8	13	409	0.9051	
8	14	14	0.5491	C
8	15	18	0.249	C
8	16	24	0.8826	
8	17	0	NA	
8	18	0	NA	
8	19	966	0.8317	
8	20	974	0.9137	
8	21	0	NA	
8	22	0	NA	
8	23	608	0.9106	
8	24	774	0.9227	
8	25	643	0.8841	
8	26	510	0.9355	
8	27	994	0.8428	
8	28	792	0.839	
8	29	623	0.7392	
8	30	574	0.7322	
8	31	590	0.8985	
8	32	706	0.8389	
8	33	260	0.3874	C
8	34	478	0.9152	
8	35	859	0.8529	
8	36	453	0.8637	
8	37	655	0.8808	
8	38	723	0.9177	
8	39	421	0.9613	
8	40	517	0.899	
8	41	692	0.9584	
8	42	722	0.891	
8	43	290	0.9573	
8	44	357	0.8416	
8	45	594	0.885	
8	46	528	0.9824	
8	47	799	0.9225	
8	48	1082	0.9015	
9	1	964	0.8826	
9	2	754	0.9459	
9	3	677	0.8843	
9	4	285	0.8667	
9	5	603	0.9148	
9	6	629	0.8865	
9	7	658	0.7807	
9	8	738	0.8699	
9	9	621	0.8016	
9	10	641	0.9429	
9	11	597	0.6719	
9	12	539	0.6852	
9	13	871	0.823	
9	14	776	0.9358	
9	15	0	NA	
9	16	0	NA	
9	17	0	NA	
9	18	0	NA	
9	19	483	0.752	
9	20	605	0.793	
9	21	773	0.9172	
9	22	869	0.6184	
9	23	0	NA	
9	24	2	25.1327	
9	25	345	0.9298	
9	26	361	0.912	
9	27	658	0.8786	
9	28	634	0.7808	
9	29	664	0.876	
9	30	599	0.6667	
9	31	566	0.743	
9	32	668	0.6949	
9	33	744	0.6792	
9	34	627	0.8474	
9	35	757	0.7572	
9	36	641	0.8344	
9	37	726	0.8517	
9	38	633	0.8767	
9	39	443	0.9245	
9	40	454	0.882	
9	41	576	0.9051	
9	42	669	0.938	
9	43	779	0.8994	
9	44	877	0.8697	
9	45	785	0.8782	
9	46	391	0.816	
9	47	2	25.1327	
9	48	31	0.8575	
10	1	1069	0.8822	
10	2	828	0.9246	
10	3	846	0.8867	
10	4	578	0.8769	
10	5	777	0.845	
10	6	657	0.8729	
10	7	1039	0.886	
10	8	589	0.8405	
10	9	493	0.899	
10	10	341	0.9514	
10	11	745	0.8228	
10	12	499	0.7914	
10	13	668	0.7401	
10	14	817	0.8248	
10	15	0	NA	
10	16	0	NA	
10	17	0	NA	
10	18	0	NA	
10	19	534	0.7926	
10	20	430	0.9455	
10	21	760	0.773	
10	22	770	0.9241	
10	23	0	NA	
10	24	0	NA	
10	25	450	0.8795	
10	26	454	0.8745	
10	27	705	0.7224	
10	28	603	0.804	
10	29	745	0.687	
10	30	787	0.7645	
10	31	703	0.9228	
10	32	783	0.8841	
10	33	601	0.6049	
10	34	609	0.5788	C
10	35	779	0.6368	
10	36	722	0.5824	C
10	37	787	0.5042	C
10	38	711	0.7817	
10	39	444	0.9407	
10	40	411	0.5279	C
10	41	671	0.7154	
10	42	724	0.8332	
10	43	834	0.927	
10	44	940	0.9461	
10	45	655	0.8808	
10	46	745	0.8882	
10	47	0	NA	
10	48	45	0.8825	
11	1	0	NA	
11	2	0	NA	
11	3	348	0.9313	
11	4	685	0.8842	
11	5	4	1.078	
11	6	1	Inf	
11	7	99	0.7951	
11	8	233	0.9323	
11	9	681	0.7594	
11	10	707	0.8109	
11	11	782	0.9174	
11	12	676	0.7994	
11	13	742	0.4016	C
11	14	733	0.5669	C
11	15	737	0.6267	
11	16	843	0.5654	C
11	17	653	0.6621	
11	18	679	0.7891	
11	19	576	0.8323	
11	20	600	0.7707	
11	21	725	0.8186	
11	22	760	0.8637	
11	23	801	0.7861	
11	24	843	0.8665	
11	25	0	NA	
11	26	0	NA	
11	27	712	0.6958	
11	28	703	0.8209	
11	29	558	0.6719	
11	30	126	1.0426	
11	31	0	NA	
11	32	0	NA	
11	33	1155	0.5091	C
11	34	692	0.4295	C
