# gitter v1.0.3 data file generated on Wed Feb 25 11:24:26 2015
# Warning possible misgridding: high count of small colony sizes, high count of low colony circularity
# Flags: S - Colony spill or edge interference, C - Low colony circularity
# row	col	size	circularity	flags
1	1	1406	0.888	
1	2	1901	0.9127	
1	3	139	0.9723	
1	4	136	1.0303	
1	5	1545	0.8191	
1	6	1440	0.8274	
1	7	1100	0.8549	
1	8	1936	0.8764	
1	9	68	0.7056	
1	10	50	0.4051	C
1	11	97	0.9642	
1	12	754	0.9286	
1	13	694	0.8707	
1	14	981	0.8206	
1	15	0	NA	
1	16	0	NA	
1	17	431	0.9248	
1	18	918	0.8576	
1	19	2	25.1327	
1	20	15	1.1033	
1	21	1109	0.8399	
1	22	973	0.9128	
1	23	390	0.7899	
1	24	700	0.8739	
1	25	1505	0.862	
1	26	1025	0.8825	
1	27	1718	0.883	
1	28	1503	0.8225	
1	29	933	0.7648	
1	30	378	0.7974	
1	31	5	0.7355	
1	32	10	0.9248	
1	33	1188	0.8803	
1	34	1422	0.8846	
1	35	644	0.8272	
1	36	948	0.8391	
1	37	0	NA	
1	38	19	0.7311	
1	39	9	0.5712	C
1	40	22	0.6227	
1	41	49	0.901	
1	42	82	0.6296	
1	43	1290	0.878	
1	44	1086	0.8069	
1	45	0	NA	
1	46	0	NA	
1	47	267	0.8535	
1	48	228	0.7426	
2	1	1282	0.865	
2	2	1133	0.9262	
2	3	127	0.9508	
2	4	935	0.8657	
2	5	603	0.825	
2	6	275	0.754	
2	7	1259	0.8937	
2	8	17	1.0181	
2	9	23	0.7299	
2	10	18	0.8323	
2	11	12	0.4707	C
2	12	1260	0.827	
2	13	131	0.9422	
2	14	1011	0.8311	
2	15	0	NA	
2	16	0	NA	
2	17	357	0.8025	
2	18	934	0.8397	
2	19	0	NA	
2	20	0	NA	
2	21	519	0.9024	
2	22	2105	0.8759	
2	23	156	0.7828	
2	24	128	0.947	
2	25	1372	0.8886	
2	26	56	0.5869	C
2	27	1257	0.9082	
2	28	1159	0.6981	
2	29	1169	0.8662	
2	30	1405	0.8066	
2	31	0	NA	
2	32	7	0.9433	
2	33	1029	0.869	
2	34	1470	0.907	
2	35	1043	0.8773	
2	36	1001	0.7916	
2	37	0	NA	
2	38	0	NA	
