# gitter v1.0.3 data file generated on Wed Feb 25 11:19:04 2015
# Warning possible misgridding: high count of small colony sizes
# Flags: S - Colony spill or edge interference, C - Low colony circularity
# row	col	size	circularity	flags
1	1	34	0.9405	
1	2	50	0.9194	
1	3	1326	0.9136	
1	4	1173	0.9252	
1	5	1191	0.8939	
1	6	1348	0.8986	
1	7	23	0.8458	
1	8	38	1.2059	
1	9	22	0.6981	
1	10	19	1.0512	
1	11	1389	0.8743	
1	12	1079	0.9112	
1	13	1126	0.8964	
1	14	1100	0.8485	
1	15	977	0.8412	
1	16	710	0.8762	
1	17	1093	0.8783	
1	18	914	0.8418	
1	19	1074	0.803	
1	20	919	0.902	
1	21	659	0.8925	
1	22	141	0.9488	
1	23	887	0.8579	
1	24	996	0.8903	
1	25	840	0.8506	
1	26	491	0.9135	
1	27	228	0.8859	
1	28	92	1.0635	
1	29	1390	0.911	
1	30	1473	0.8571	
1	31	959	0.8832	
1	32	914	0.9025	
1	33	799	0.8881	
1	34	605	0.913	
1	35	1163	0.8586	
1	36	678	0.9117	
1	37	507	0.8415	
1	38	38	0.9957	
1	39	1142	0.8775	
1	40	1178	0.8619	
1	41	1009	0.8687	
1	42	1572	0.838	
1	43	365	0.9221	
1	44	869	0.8618	
1	45	20	0.7355	
1	46	6	0.4707	C
1	47	992	0.8659	
1	48	995	0.8858	
2	1	43	0.9271	
2	2	41	0.9479	
2	3	1121	0.8726	
2	4	1051	0.8926	
2	5	1064	0.8781	
2	6	1032	0.9008	
2	7	19	0.9445	
2	8	21	0.8237	
2	9	14	0.2694	C
2	10	18	0.706	
2	11	964	0.9081	
2	12	792	0.8942	
2	13	930	0.8361	
2	14	909	0.8976	
2	15	722	0.9274	
2	16	762	0.8839	
2	17	804	0.9388	
2	18	917	0.8592	
2	19	767	0.6944	
2	20	875	0.6173	
2	21	694	0.7924	
2	22	404	0.9081	
2	23	1197	0.8846	
2	24	1050	0.6992	
2	25	444	0.8553	
2	26	23	1.2725	
2	27	236	0.8803	
2	28	35	0.4585	C
2	29	1211	0.9341	
2	30	886	0.8879	
2	31	1011	0.6815	
2	32	947	0.8514	
2	33	1028	0.8647	
2	34	115	1.0246	
2	35	1302	0.8525	
2	36	1045	0.7914	
2	37	25	0.7486	
2	38	19	0.7311	
2	39	757	0.9387	
2	40	1103	0.9017	
2	41	448	0.9552	
2	42	1140	0.8416	
2	43	162	0.9133	S
2	44	6	0.4707	C
2	45	180	0.9339	S
2	46	25	0.8638	
2	47	1168	0.8927	
2	48	1262	0.8413	
3	1	815	0.9305	
3	2	678	0.9072	
3	3	92	0.9918	
3	4	28	0.8385	
3	5	1026	0.9301	
3	6	770	0.8559	
3	7	171	0.9405	
3	8	189	0.9484	
3	9	11	0.7601	
3	10	12	0.4496	C
3	11	9	0.4716	C
3	12	15	0.8299	
3	13	772	0.7445	
3	14	814	0.9019	
3	15	7	0.3873	C
3	16	8	0.3892	C
3	17	3	3.2341	
3	18	7	0.3873	C
3	19	507	0.7792	
3	20	618	0.7442	
3	21	896	0.7579	
3	22	945	0.7695	
3	23	652	0.7953	
3	24	166	0.9263	
3	25	1143	0.8063	
3	26	1089	0.804	
3	27	746	0.8102	
3	28	18	0.8323	
3	29	17	1.0181	
3	30	8	0.6899	
3	31	176	0.9042	
3	32	23	0.9918	
3	33	935	0.7563	
3	34	611	0.7602	
3	35	638	0.9104	
3	36	246	0.8674	
3	37	1084	0.8779	
3	38	225	0.9805	
3	39	766	0.8774	
3	40	986	0.8558	
3	41	536	0.8847	
3	42	856	0.9411	
3	43	0	NA	
3	44	13	0.7192	
3	45	1027	0.8442	
3	46	425	0.9261	
3	47	460	0.9457	
3	48	999	0.8806	
4	1	737	0.9139	
4	2	723	0.9444	
4	3	122	0.9679	
4	4	22	1.0173	
4	5	806	0.9456	
4	6	718	0.9114	
4	7	72	0.8758	
4	8	221	0.9509	
4	9	10	0.9248	
4	10	9	0.4716	C
4	11	15	0.3705	C
4	12	327	0.945	
4	13	607	0.7589	
4	14	763	0.8951	
4	15	7	0.3873	C
4	16	13	0.6462	
4	17	7	0.3873	C
4	18	11	0.6981	
4	19	393	0.8079	
4	20	292	0.8591	
4	21	707	0.6338	
4	22	879	0.8129	
4	23	875	0.7691	
4	24	511	0.6931	
4	25	756	0.7665	
4	26	1013	0.8118	
4	27	667	0.6413	
4	28	31	0.6079	
4	29	12	0.5839	C
4	30	11	0.7601	
4	31	686	0.6237	
4	32	19	0.7965	
4	33	449	0.6374	
4	34	442	0.787	
4	35	391	0.7954	
4	36	161	0.8556	
4	37	786	0.7557	
4	38	5	0.7355	
4	39	18	1.078	
4	40	943	0.8573	
4	41	713	0.7101	
4	42	827	0.8993	
4	43	0	NA	
4	44	15	1.1033	
4	45	524	0.9556	
4	46	400	0.9872	
4	47	474	0.8819	
4	48	390	0.8964	
5	1	618	0.9091	
5	2	447	0.9329	
5	3	162	0.9364	
5	4	378	0.9945	
5	5	13	0.6813	
5	6	8	0.3699	C
5	7	12	0.4496	C
5	8	1	Inf	
5	9	680	0.908	
5	10	268	0.8917	
5	11	850	0.8909	
5	12	634	0.8935	
5	13	911	0.803	
5	14	859	0.8344	
5	15	625	0.7308	
5	16	765	0.8282	
5	17	367	0.9208	
5	18	13	0.2902	C
5	19	937	0.5906	C
5	20	831	0.8804	
5	21	395	0.8422	
5	22	368	0.7532	
5	23	404	0.7849	
5	24	576	0.8076	
5	25	681	0.927	
5	26	774	0.8076	
5	27	527	0.8205	
5	28	458	0.9084	
5	29	980	0.8065	
5	30	97	0.5918	C
5	31	839	0.7478	
5	32	982	0.8455	
5	33	710	0.8302	
5	34	718	0.8044	
5	35	737	0.8687	
5	36	595	0.8818	
5	37	669	0.8029	
5	38	540	0.8088	
5	39	425	0.8307	
5	40	593	0.8142	
5	41	304	0.8851	
5	42	532	0.9001	
5	43	667	0.8508	
5	44	866	0.9036	
5	45	864	0.848	
