# gitter v1.0.3 data file generated on Wed Feb 25 11:19:38 2015
# Warning possible misgridding: high count of small colony sizes, high count of low colony circularity
# Flags: S - Colony spill or edge interference, C - Low colony circularity
# row	col	size	circularity	flags
1	1	1302	0.9358	
1	2	1159	0.9349	
1	3	482	0.9285	
1	4	631	0.9166	
1	5	1103	0.9443	
1	6	981	0.8856	
1	7	1206	0.9217	
1	8	994	0.942	
1	9	632	0.9248	
1	10	765	0.8775	
1	11	562	0.9508	
1	12	684	0.8482	
1	13	1267	0.885	
1	14	1126	0.8799	
1	15	17	0.6668	
1	16	13	0.4658	C
1	17	1252	0.9361	
1	18	1201	0.9264	
1	19	22	0.392	C
1	20	14	0.7177	
1	21	1186	0.9065	
1	22	1099	0.9245	
1	23	1170	0.9059	
1	24	888	0.8715	
1	25	624	0.8494	
1	26	1068	0.8731	
1	27	1036	0.9314	
1	28	1002	0.8869	
1	29	814	0.8949	
1	30	943	0.8598	
1	31	14	0.8385	
1	32	26	0.4435	C
1	33	1038	0.8533	
1	34	1285	0.9202	
1	35	1147	0.9131	
1	36	1281	0.8981	
1	37	22	0.9223	
1	38	12	1.1098	
1	39	22	0.5856	C
1	40	25	1.0276	
1	41	432	0.9711	
1	42	290	0.8234	
1	43	1029	0.9198	
1	44	1017	0.9405	
1	45	49	0.901	
1	46	52	0.7605	
1	47	1175	0.9098	
1	48	950	0.8786	
2	1	1216	0.921	
2	2	1076	0.9264	
2	3	588	0.945	
2	4	540	0.9575	
2	5	883	0.8981	
2	6	957	0.8762	
2	7	835	0.918	
2	8	1031	0.9125	
2	9	591	0.9498	
2	10	192	0.8909	
2	11	371	0.976	
2	12	343	0.9024	
2	13	919	0.9488	
2	14	1035	0.9251	
2	15	6	0.7187	
2	16	8	0.6899	
2	17	949	0.8689	
2	18	1073	0.9149	
2	19	24	0.6639	
2	20	14	0.4443	C
2	21	960	0.879	
2	22	968	0.9307	
2	23	1076	0.7242	
2	24	1060	0.7431	
2	25	906	0.9454	
2	26	995	0.8982	
2	27	1125	0.8566	
2	28	897	0.8804	
2	29	662	0.9398	
2	30	262	0.9238	
2	31	10	0.411	C
2	32	16	0.7185	
2	33	883	0.8655	
2	34	813	0.9096	
2	35	1151	0.8684	
2	36	1040	0.9427	
2	37	20	0.7844	
2	38	15	0.6936	
2	39	25	0.7613	
2	40	17	0.7331	
2	41	736	0.9126	
2	42	33	0.8647	
2	43	1247	0.9567	
